"id_girone", "id_giornata", "voto_casa", "voto_ospite", "mv_casa", "mv_ospite","tot_casa","tot_ospite","gol_casa","gol_ospite","casa","ospite"
"2","26","71,5","70,5","3","-1","70,5","73,5","2","2","Organizzazione Zero","Atletico ero na volta"
"2","26","68","74,5","0","-1","67","74,5","1","2","Eni Cafè di B.A.","Azienda Paam"
"2","26","66,5","79,5","0","-1","65,5","79,5","1","3","Prosut!","Salsino Forever"
"2","26","57,5","69","0","2","59,5","69","0","1","Ronie Merda","AS Valle SantAndrea"
"2","26","72,5","69","-1","1","73,5","68","2","1","I NANI","Nuova Romanina"
"2","26","65,5","61","2","1","66,5","63","1","0","Vota Micheli","AS Venere"
"2","27","71","85","0","-2","69","85","1","5","Nuova Romanina","Organizzazione Zero"
"2","27","64,5","79,5","-2","-2","62,5","77,5","0","3","Atletico ero na volta","Eni Cafè di B.A."
"2","27","71,5","67","-1","0","71,5","66","2","1","Azienda Paam","Prosut!"
"2","27","68,5","49,5","-1","4","72,5","48,5","2","0","Salsino Forever","Ronie Merda"
"2","27","67,5","53,5","0","4","71,5","53,5","2","0","AS Venere","I NANI"
"2","27","66","71,5","2","0","66","73,5","1","2","AS Valle SantAndrea","Vota Micheli"
"2","28","69,5","61,5","4","4","73,5","65,5","2","1","Organizzazione Zero","Eni Cafè di B.A."
"2","28","83,5","74,5","-1","-2","81,5","73,5","4","2","Prosut!","Atletico ero na volta"
"2","28","80,5","72,5","-4","2","82,5","68,5","4","1","Ronie Merda","Azienda Paam"
"2","28","72","74,5","-2","-2","70","72,5","2","2","Nuova Romanina","AS Venere"
"2","28","67,5","60,5","2","4","71,5","62,5","2","0","I NANI","AS Valle SantAndrea"
"2","28","66,5","67,5","0","-2","64,5","67,5","0","1","Vota Micheli","Salsino Forever"
"2","29","66","64","0","2","68","64","1","0","AS Venere","Organizzazione Zero"
"2","29","61","73","1","-1","60","74","0","2","Eni Cafè di B.A.","Prosut!"
"2","29","69","65,5","-2","0","69","63,5","1","0","Atletico ero na volta","Ronie Merda"
"2","29","66,5","66,5","0","0","66,5","66,5","1","1","AS Valle SantAndrea","Nuova Romanina"
"2","29","69","67,5","-1","-2","67","66,5","1","1","Salsino Forever","I NANI"
"2","29","69","61,5","3","0","69","64,5","1","0","Azienda Paam","Vota Micheli"
"2","30","76,5","69","-1","0","76,5","68","3","1","Organizzazione Zero","Prosut!"
"2","30","68","68","0","0","68","68","1","1","Ronie Merda","Eni Cafè di B.A."
"2","30","67,5","65","0","0","67,5","65","1","1","AS Venere","AS Valle SantAndrea"
"2","30","66,5","65","-1","0","66,5","64","1","0","Nuova Romanina","Salsino Forever"
"2","30","74","66","0","0","74","66","2","1","I NANI","Azienda Paam"
"2","30","72,5","63,5","-2","-1","71,5","61,5","2","0","Vota Micheli","Atletico ero na volta"
"2","31","68","84","1","-2","66","85","1","5","AS Valle SantAndrea","Organizzazione Zero"
"2","31","71,5","68,5","0","-1","70,5","68,5","2","1","Prosut!","Ronie Merda"
"2","31","66,5","65","0","0","66,5","65","1","1","Salsino Forever","AS Venere"
"2","31","69","73,5","0","-3","66","73,5","1","2","Azienda Paam","Nuova Romanina"
"2","31","70,5","66","0","0","70,5","66","2","1","Atletico ero na volta","I NANI"
"2","31","58","60","1","1","59","61","0","0","Eni Cafè di B.A.","Vota Micheli"
"2","32","67","68,5","0","1","68","68,5","1","1","Organizzazione Zero","Ronie Merda"
"2","32","55,5","81","0","-2","53,5","81","0","4","AS Valle SantAndrea","Salsino Forever"
"2","32","59,5","72,5","4","3","62,5","76,5","0","3","AS Venere","Azienda Paam"
"2","32","74","67,5","-3","-2","72","64,5","2","0","Nuova Romanina","Atletico ero na volta"
"2","32","69","56,5","2","-1","68","58,5","1","0","I NANI","Eni Cafè di B.A."
"2","32","66","67","0","1","67","67","1","1","Vota Micheli","Prosut!"
"2","33","68,5","74","-3","0","68,5","71","1","2","Salsino Forever","Organizzazione Zero"
"2","33","62","64","1","0","62","65","0","1","Azienda Paam","AS Valle SantAndrea"
"2","33","81","66,5","-2","1","82","64,5","4","0","Atletico ero na volta","AS Venere"
"2","33","65,5","80,5","-2","-3","62,5","78,5","0","3","Eni Cafè di B.A.","Nuova Romanina"
"2","33","65,5","72,5","0","-1","64,5","72,5","0","2","Prosut!","I NANI"
"2","33","64","65","0","1","65","65","1","1","Ronie Merda","Vota Micheli"
"3","34","59","87,5","0","-2","57","87,5","0","5","Ronie Merda","Eni Cafè di B.A."
"3","34","61","70,5","0","2","63","70,5","0","2","AS Valle SantAndrea","Azienda Paam"
"3","34","66","60,5","-1","4","70","59,5","2","0","Salsino Forever","Vota Micheli"
"3","34","77,5","60","0","1","78,5","60","3","0","Nuova Romanina","Prosut!"
"3","35","66","69","1","0","66","70","1","2","Eni Cafè di B.A.","AS Venere"
"3","35","69","68","0","-1","68","68","1","1","Azienda Paam","Atletico ero na volta"
"3","35","70","71,5","-1","-1","69","70,5","1","2","Salsino Forever","Organizzazione Zero"
"3","35","74","69","4","-1","73","73","2","2","Nuova Romanina","I NANI"
"3","36","69,5","58,5","0","-1","68,5","58,5","1","0","I NANI","Salsino Forever"
"3","36","72","65,5","-1","-1","71","64,5","2","0","Atletico ero na volta","AS Venere"
"3","36","75,5","68","2","2","77,5","70","3","2","Nuova Romanina","Organizzazione Zero"
"3","37","69,5","75,5","0","2","71,5","75,5","2","3","I NANI","Nuova Romanina"
