Quotazioni Fantacalcio Stagione 2023 24;;;;;;;;;;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M;offerta massima;fascia;indice squadra;titolarita;rigori;punizioni;angoli;note;Check su altro file 
5532;D;"Ds;E";Bradaric;Salernitana;7;7;0;7;7;0;11;11;4;5;2;7;;3;;;KO
2788;D;Dc;Bremer;Juventus;13;13;0;13;13;0;52;48;21;2;2;8;;;;;KO
6028;D;"Dd;Dc";Bronn;Salernitana;1;2;-1;1;2;-1;3;3;1;6;8;3;;;;;KO
2724;D;Dc;Buongiorno;Torino;10;11;-1;10;11;-1;23;23;9;5;3;8;;;;+;KO
6039;D;"Ds;Dc";Cabal;Verona;2;3;-1;3;4;-1;4;5;2;6;9;3;;;;;KO
5804;D;"Ds;E";Cacace;Empoli;2;3;-1;2;3;-1;8;8;3;6;8;3;;;;;KO
357;D;"Dd;E";Calabria;Milan;10;9;1;10;9;1;22;22;9;5;4;8;;;;;KO
4945;D;"Ds;E";Calafiori;Bologna;4;4;0;4;4;0;7;7;3;6;8;3;;;;;KO
4958;D;"Ds;Dc";Caldirola;Monza;7;7;0;8;8;0;10;12;4;5;5;5;;;;;KO
5520;D;"Dd;Ds;E";Cambiaso;Juventus;7;5;2;7;6;1;22;27;9;5;4;6;;;;buone le prime giornate;KO
454;D;Dc;Capradossi;Cagliari;1;1;0;1;1;0;1;1;0;7;10;1;;;;;KO
4925;D;"Ds;Dc";Carboni A.;Monza;3;3;0;4;4;0;3;4;1;6;8;3;;;;;KO
6149;D;"Ds;E";Carboni F.;Monza;1;1;0;1;1;0;1;1;0;7;10;3;;;;;KO
5877;D;E;Carlos Augusto;Inter;17;17;0;17;17;0;42;30;17;3;6;4;;;;gioca poco;KO
5498;D;Dc;Casale;Lazio;10;10;0;10;10;0;22;22;9;5;2;7;;;;;KO
4657;D;"Dd;E";Celik;Roma;2;3;-1;2;3;-1;7;5;3;6;7;3;;;;;KO
5757;D;Dc;Cittadini;Monza;2;3;-1;2;3;-1;4;4;2;6;7;3;;;;;KO
5764;D;Dc;Coppola D.;Verona;2;2;0;2;2;0;2;2;1;6;10;3;;;;;KO
6407;D;"Dd;Ds;E";Corazza;Bologna;2;1;1;2;1;1;1;1;0;7;12;2;;;;;KO
697;D;E;Cuadrado;Inter;10;9;1;9;8;1;34;28;14;4;7;5;;;;;KO
253;D;"Dd;Ds;Dc";D'ambrosio;Monza;7;7;0;9;9;0;14;14;6;5;3;4;;;;"antisco; Caviglia (da valutare)";KO
5554;D;"Dd;Dc";Daniliuc;Salernitana;2;3;-1;2;3;-1;4;5;2;6;7;3;;;;piede (luglio-ottobre);KO
4237;D;"Dd;Ds;Dc";Danilo;Juventus;16;15;1;19;18;1;52;48;21;2;1;9;;;;+;KO
2525;D;"Dd;Dc";Darmian;Inter;12;11;1;14;13;1;23;27;9;5;8;5;;;;;KO
4493;D;Dc;Dawidowicz;Verona;5;4;1;5;4;1;5;5;2;6;5;5;;;;;KO
358;D;"Dd;Ds;E";De Sciglio;Juventus;2;3;-1;2;3;-1;6;6;2;6;7;3;;;;crociato (maggio-gennaio);KO
487;D;"Dd;E";De Silvestri;Bologna;1;2;-1;1;2;-1;3;3;1;6;9;3;;;;;KO
322;D;Dc;De Vrij;Inter;8;6;2;8;6;2;13;13;5;5;9;4;;;;;KO
5739;D;"Dd;Dc";De Winter;Genoa;2;3;-1;2;3;-1;6;8;2;6;10;1;;;;;KO
139;D;Dc;Dermaku;Lecce;1;1;0;1;1;0;1;1;0;7;8;2;;;;;KO
2816;D;"Dd;E";Di Lorenzo;Napoli;20;18;2;20;18;2;96;96;38;1;1;9;;;;;KO
5406;D;"Dd;E";Di Pardo;Cagliari;3;2;1;3;2;1;3;3;1;6;9;3;;;;;KO
254;D;E;Dimarco;Inter;20;19;1;19;18;1;81;72;32;1;1;8;;2;2;+++;KO
2869;D;Dc;Djidji;Torino;5;6;-1;5;6;-1;7;7;3;6;6;4;;;;"noie muscolari, possibile intervento (da valutare); coppa dafrica";KO
787;D;Dc;Djimsiti;Atalanta;8;7;1;8;7;1;16;16;6;5;8;5;;;;;KO
5885;D;"Dd;E";Dodo';Fiorentina;7;8;-1;7;8;-1;22;22;9;5;3;8;;;;;KO
5851;D;"Ds;E";Doig;Verona;11;11;0;11;11;0;20;20;8;5;2;8;;;;;KO
6257;D;"Ds;E";Dorgu;Lecce;3;1;2;3;1;2;8;8;3;6;4;4;;;;;KO
6230;D;Dc;Dossena;Cagliari;6;6;0;6;6;0;7;7;3;6;4;7;;;;;KO
5365;D;"Dd;Dc";Dragusin;Genoa;6;6;0;7;7;0;12;12;5;5;2;8;;;;;KO
5513;D;E;Dumfries;Inter;14;12;2;13;11;2;47;39;19;3;2;7;;;;riscatto?;KO
5848;D;"Dd;E";Ebosele;Udinese;5;4;1;5;4;1;6;6;2;6;4;6;;;;coppa dafrica;KO
5994;D;"Ds;Dc";Ebosse;Udinese;2;3;-1;3;4;-1;3;4;1;6;9;3;;;;"crociato (febbraio- ottobre); coppa dafrica";KO
5480;D;"Dd;E";Ebuehi;Empoli;10;11;-1;10;11;-1;17;17;7;5;2;7;;;;coppa dafrica;KO
6047;D;"Dd;E";Ehizibue;Udinese;4;5;-1;4;5;-1;6;6;2;6;7;4;;;;"crociato (maggio-novembre); coppa dafrica";KO
4982;D;Dc;Erlic;Sassuolo;6;5;1;6;5;1;10;10;4;5;1;7;;;;;KO
581;D;"Dd;E";Faraoni;Verona;9;9;0;9;9;0;16;16;6;5;1;7;;;;++;KO
2016;D;Dc;Fazio;Salernitana;2;2;0;2;2;0;2;2;1;6;9;3;;;;;KO
1895;D;Dc;Ferrari G.;Sassuolo;3;4;-1;3;4;-1;10;10;4;5;5;3;;;;;KO
