Voti Italia 2 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
4973;C;MCKENNIE;5;0;0;0;0;0;0;0;0;0;0;0
184;C;BERNARDESCHI;5;0;0;0;0;0;0;1;0;0;0;0
827;C;LOCATELLI;6;0;0;0;0;0;0;0;0;0;0;0
2002;C;CHIESA;6,5;0;0;0;0;0;0;0;0;0;0;0
313;A;MORATA;5;0;0;0;0;0;0;0;0;0;0;0
309;A;DYBALA;5;0;0;0;0;0;0;0;0;0;0;0
686;ALL;ALLEGRI;4,5;0;0;0;0;0;0;0;0;0;0;0
LAZIO;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
387;P;REINA;6,5;0;1;0;0;0;0;0;0;1;0;0
513;D;ACERBI;6;0;0;0;0;0;0;0;0;0;0;0
2188;D;MARUSIC;6;0;0;0;0;0;0;0;0;0;0;0
2263;D;LAZZARI;6;0;0;0;0;0;0;0;0;0;0;0
140;D;HYSAJ;7;1;0;0;0;0;0;0;0;0;0;0
327;D;PATRIC;6;0;0;0;0;0;0;0;0;0;0;0
645;C;MILINKOVIC-SAVIC;6,5;0;0;0;0;0;0;0;0;0;0;0
2209;C;LUCAS LEIVA;6,5;0;0;0;0;0;0;0;0;0;0;0
2085;C;LUIS ALBERTO;8;1;0;0;0;0;0;0;0;3;0;0
333;C;CATALDI;6;0;0;0;0;0;0;0;0;0;0;0
