Statistiche Fantacalcio Stagione 2022 23  Italia;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
513;D;Dc;Acerbi;Inter;31;6,03;6;0;0;0;0;0;0;1;4;0;0
581;D;"Dd;E";Faraoni;Verona;21;5,88;6,1;2;0;0;0;0;0;2;7;0;0
2164;D;"Dd;Dc";Milenkovic;Fiorentina;27;5,93;6,04;2;0;0;0;0;0;1;4;0;1
2169;D;"Ds;Dc;E";Rodriguez R.;Torino;34;6,13;6,09;0;0;0;0;0;0;0;3;0;0
2739;D;"Ds;E";Reca;Spezia;30;5,98;6;1;0;0;0;0;0;0;5;0;0
4530;D;"Ds;E";Kyriakopoulos;Bologna;21;6,1;6,26;1;0;0;0;0;0;3;5;0;0
4899;D;E;Singo;Torino;28;5,95;6,05;2;0;0;0;0;0;1;8;0;0
4904;D;Dc;Mari';Monza;29;6,02;6,05;1;0;0;0;0;0;0;4;0;0
5520;D;"Dd;Ds;E";Cambiaso;Bologna;31;5,89;5,95;0;0;0;0;0;0;3;2;0;0
5885;D;"Dd;E";Dodo';Fiorentina;33;5,92;6,03;1;0;0;0;0;0;3;3;1;0
49;D;"Ds;Dc;E";Masina;Udinese;11;5,86;6,32;2;0;0;0;0;0;0;2;0;0
226;D;"Dd;Dc";Izzo;Monza;29;6,16;6,09;1;0;0;0;0;0;0;10;0;0
357;D;"Dd;E";Calabria;Milan;23;5,91;6,04;1;0;0;0;0;0;3;6;0;0
798;D;Dc;Skriniar;Inter;21;5,81;5,6;0;0;0;0;0;0;0;3;1;1
2847;D;"Ds;Dc;E";Sernicola;Cremonese;31;5,9;5,98;2;0;0;0;0;0;2;11;0;0
4375;D;"Ds;E";Terzic;Fiorentina;17;6,06;6,24;1;0;0;0;0;0;1;2;0;0
4412;D;Dc;Rodrigo Becao;Udinese;28;6,07;6,02;2;0;0;0;0;0;1;11;1;1
4897;D;Dc;Pirola;Salernitana;25;5,72;5,88;2;0;0;0;0;0;0;4;0;0
4958;D;"Ds;Dc";Caldirola;Monza;30;5,95;6,05;2;0;0;0;0;0;0;6;0;0
256;D;"Ds;Dc";Juan Jesus;Napoli;12;6,04;6,21;1;0;0;0;0;0;0;2;0;0
286;D;Dc;Bonucci;Juventus;11;6;5,95;1;0;0;1;0;1;0;1;0;0
322;D;Dc;De Vrij;Inter;25;5,9;5,94;1;0;0;0;0;0;0;4;0;0
787;D;Dc;Djimsiti;Atalanta;22;5,95;5,93;0;0;0;0;0;0;1;3;0;0
2188;D;"Dd;Ds;E";Marusic;Lazio;33;5,97;5,88;0;0;0;0;0;0;2;8;1;0
2869;D;"Dd;Ds;Dc";Djidji;Torino;32;5,84;5,89;1;0;0;0;0;0;0;3;0;0
