Voti Italia 1 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
152;C;ZIELINSKI;6;0;0;0;0;0;0;0;0;0;0;0
2775;C;RUIZ;5,5;0;0;0;0;0;0;1;0;0;0;0
4287;C;LOBOTKA;6;0;0;0;0;0;0;0;0;0;0;0
4364;C;GAETANO;6;0;0;0;0;0;0;0;0;0;0;0
4479;C;ELMAS;7;1;0;0;0;0;0;0;0;0;0;0
4517;A;LOZANO;6,5;0;0;0;0;0;0;0;0;0;0;0
536;A;POLITANO;6,5;0;0;0;0;0;0;0;0;0;0;0
4661;A;OSIMHEN;4,5;0;0;0;0;0;0;0;1;0;0;0
383;A;PETAGNA;6*;0;0;0;0;0;0;0;0;0;0;0
409;A;INSIGNE;6,5;0;0;0;1;1;0;0;0;0;1;0
782;ALL;SPALLETTI;7;0;0;0;0;0;0;1;0;0;0;0
ROMA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
4270;P;RUI PATRICIO;6,5;0;1;0;0;0;0;0;0;0;0;0
4331;D;IBANEZ;6,5;0;0;0;0;0;0;0;0;0;0;0
2180;D;KARSDORP;6;0;0;0;0;0;0;0;0;0;0;0
2296;D;MANCINI;6;0;0;0;0;0;0;0;0;0;0;0
5509;D;VINA;6;0;0;0;0;0;0;0;0;0;0;0
779;C;CRISTANTE;6;0;0;0;0;0;0;0;0;0;0;0
2215;C;VERETOUT;8;2;0;0;0;0;0;0;0;0;1;0
2529;C;MKHITARYAN;7;1;0;0;0;0;0;0;0;0;0;0
5423;C;BOVE;6*;0;0;0;0;0;0;0;0;0;0;0
530;C;PELLEGRINI LO.;7;0;0;0;0;0;0;1;0;0;0;0
2766;C;ZANIOLO;5;0;0;0;0;0;0;0;1;0;0;0
795;A;EL SHAARAWY;6*;0;0;0;0;0;0;0;0;0;0;0
4884;A;CARLES PEREZ;6*;0;0;0;0;0;0;0;0;0;0;0
5311;A;SHOMURODOV;6,5;0;0;0;0;0;0;0;0;1;0;0
2544;A;ABRAHAM;7,5;0;0;0;0;0;0;0;0;2;0;0
5190;ALL;MOURINHO;7;0;0;0;0;0;0;0;0;0;0;0
SALERNITANA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
720;P;BELEC;6;0;3;0;0;0;0;0;0;0;0;0
4433;D;ZORTEA;6;0;0;0;0;0;0;0;0;0;0;0
5354;D;RUGGERI;6,5;0;0;0;0;0;0;0;0;0;0;0
660;D;GYOMBER;5,5;0;0;0;0;0;0;0;0;0;0;0
5464;D;BOGDAN;6;0;0;0;0;0;0;0;0;0;0;0
5466;D;STRANDBERG;4,5;0;0;0;0;0;0;0;1;0;0;0
5503;D;KECHRIDA;6;0;0;0;0;0;0;0;0;0;0;0
2208;D;JAROSZYNSKI;5;0;0;0;0;0;0;1;0;0;0;0
560;C;OBI;6*;0;0;0;0;0;0;0;0;0;0;0
173;C;CAPEZZI;5,5;0;0;0;0;0;0;0;0;0;0;0
5470;C;SCHIAVONE;6*;0;0;0;0;0;0;0;0;0;0;0
2144;C;COULIBALY M.;7;1;0;0;0;0;0;0;0;0;0;0
5504;C;COULIBALY L.;5,5;0;0;0;0;0;0;0;0;0;0;0
1997;A;SIMY;6;0;0;0;0;0;0;0;0;0;0;0
505;A;BONAZZOLI;7;0;0;0;0;1;0;0;0;0;0;0
5471;A;DJURIC;6;0;0;0;0;0;0;0;0;0;0;0
679;ALL;CASTORI;6;0;0;0;0;0;0;0;0;0;0;0
SASSUOLO;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
509;P;CONSIGLI;6;0;2;0;0;0;0;0;0;0;0;0
2318;D;ROGERIO;6;0;0;0;0;0;0;0;0;0;0;0
4979;D;AYHAN;6*;0;0;0;0;0;0;0;0;0;0;0
640;D;CHIRICHES;6;0;0;0;0;0;0;0;0;0;0;0
1895;D;FERRARI G.;6;0;0;0;0;0;0;0;0;0;0;0
4426;D;TOLJAN;5,5;0;0;0;0;0;0;0;0;0;0;0
528;C;MAGNANELLI;6*;0;0;0;0;0;0;0;0;0;0;0
2848;C;FRATTESI;6,5;0;0;0;0;0;0;0;0;0;0;0
2857;C;TRAORE' HJ.;7;1;0;0;0;0;0;0;0;0;1;0
1995;C;DJURICIC;7,5;1;0;0;0;0;0;1;0;1;0;0
4681;C;LOPEZ M.;6,5;0;0;0;0;0;0;1;0;0;0;0
2819;A;CAPUTO;6,5;0;0;0;0;0;0;0;0;1;0;0
2832;A;BOGA;6;0;0;0;0;0;0;0;0;1;0;0
643;A;DEFREL;6*;0;0;0;0;0;0;0;0;0;0;0
4371;A;RASPADORI;7;1;0;0;0;0;0;0;0;0;0;0
2137;A;SCAMACCA;6*;0;0;0;0;0;0;0;0;0;0;0
5474;ALL;DIONISI;7;0;0;0;0;0;0;0;0;0;0;0
TORINO;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2170;P;MILINKOVIC-SAVIC V.;6;0;2;0;0;0;0;0;0;0;0;0
2865;D;AINA;6;0;0;0;0;0;0;0;0;0;0;0
2869;D;DJIDJI;6;0;0;0;0;0;0;0;0;0;0;0
4899;D;SINGO;6,5;0;0;0;0;0;0;0;0;0;0;0
226;D;IZZO;5,5;0;0;0;0;0;0;0;0;0;0;0
2169;D;RODRIGUEZ R.;5,5;0;0;0;0;0;0;0;0;0;0;0
2788;D;BREMER;6,5;0;0;0;0;0;0;1;0;0;0;0
1933;C;MANDRAGORA;6;0;0;0;0;0;0;0;0;0;0;0
2008;C;LINETTY;6;0;0;0;0;0;0;0;0;0;0;0
2009;C;LUKIC;5,5;0;0;0;0;0;0;0;0;0;0;0
238;C;RINCON;6;0;0;0;0;0;0;1;0;0;0;0
376;C;VERDI;6;0;0;0;0;0;0;0;0;0;0;0
1998;A;PJACA;5,5;0;0;0;0;0;0;0;0;0;0;0
441;A;BELOTTI;7;1;0;0;0;0;0;0;0;0;0;0
479;A;SANABRIA;6;0;0;0;0;0;0;0;0;0;0;0
1924;ALL;JURIC;6,5;0;0;0;0;0;0;0;0;0;0;0
UDINESE;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2211;P;SILVESTRI;6;0;2;0;0;0;0;0;0;0;0;0
2315;D;STRYGER LARSEN;6;0;0;0;0;0;0;0;0;0;0;0
5355;D;UDOGIE;5,5;0;0;0;0;0;0;0;0;0;0;0
4323;D;ZEEGELAAR;6*;0;0;0;0;0;0;0;0;0;0;0
790;D;SAMIR;5,5;0;0;0;0;0;0;0;0;0;0;0
4412;D;RODRIGO BECAO;5,5;0;0;0;0;0;0;0;0;0;0;0
4998;D;MOLINA N.;6;0;0;0;0;0;0;0;0;0;0;0
2280;D;NUYTINCK;5;0;0;0;0;0;0;0;0;0;0;0
5329;C;MAKENGO;5,5;0;0;0;0;0;0;0;0;0;0;0
2392;C;WALACE;5,5;0;0;0;0;0;0;1;0;0;0;0
302;C;PEREYRA;6,5;0;0;0;0;1;0;0;0;0;0;0
434;C;JAJALO;6*;0;0;0;0;0;0;0;0;0;0;0
5287;C;ARSLAN;6;0;0;0;0;0;0;0;0;0;0;0
2826;A;PUSSETTO;6;0;0;0;0;0;0;0;0;0;0;0
4324;A;OKAKA;6,5;0;0;0;0;0;0;0;0;0;0;0
2119;A;DEULOFEU;7;1;0;0;0;0;0;0;0;0;0;1
1860;ALL;GOTTI;7;0;0;0;0;0;0;0;0;0;0;0
VENEZIA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
5478;P;MAENPAA;5,5;0;2;0;0;0;0;0;0;0;0;0
5484;D;SVOBODA;5,5;0;0;0;0;0;0;0;0;0;0;0
551;D;MOLINARO;5;0;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;5;0;0;0;0;0;0;1;0;0;0;0
5479;D;CECCARONI;5;0;0;0;0;0;0;1;0;0;0;0
5480;D;EBUEHI;5,5;0;0;0;0;0;0;1;0;0;0;0
5487;C;HEYMANS;6;0;0;0;0;0;0;1;0;0;0;0
400;C;DEZI;6;0;0;0;0;0;0;0;0;0;0;0
5488;C;FIORDILINO;5,5;0;0;0;0;0;0;1;0;0;0;0
5490;C;PERETZ;5,5;0;0;0;0;0;0;0;0;0;0;0
5501;C;SIGURDSSON A.;6;0;0;0;0;0;0;0;0;0;0;0
5492;C;TESSMANN;5,5;0;0;0;0;0;0;1;0;0;0;0
5495;A;FORTE;5,5;0;0;0;0;0;0;1;0;0;0;0
5496;A;JOHNSEN;6;0;0;0;0;0;0;0;0;0;0;0
5525;A;GALAZZI;6;0;0;0;0;0;0;0;0;0;0;0
5494;A;DI MARIANO;5;0;0;0;0;0;0;0;0;0;0;0
5497;ALL;ZANETTI;5,5;0;0;0;0;0;0;0;0;0;0;0
VERONA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
4996;P;PANDUR;5,5;0;3;0;0;0;0;0;0;0;0;0
5498;D;CASALE;6;0;0;0;0;0;0;0;0;0;0;0
2758;D;GUNTER;5;0;0;0;0;0;0;0;0;0;0;0
2769;D;MAGNANI;6;0;0;0;0;0;0;0;0;0;0;0
4493;D;DAWIDOWICZ;5,5;0;0;0;0;0;0;0;0;0;0;0
1891;D;CECCHERINI;5,5;0;0;0;0;0;0;0;0;0;0;0
2172;C;BARAK;6;0;0;0;0;0;0;0;0;0;0;0
5499;C;HONGLA;6;0;0;0;0;0;0;0;0;0;0;0
236;C;LAZOVIC;6;0;0;0;0;0;0;0;0;1;0;0
632;C;ZACCAGNI;7,5;1;0;0;0;1;0;0;0;0;0;0
4890;C;TAMEZE;5,5;0;0;0;0;0;0;0;0;0;0;0
5007;C;ILIC;6;0;0;0;0;0;0;0;0;0;0;0
2011;C;MIGUEL VELOSO;4,5;0;0;0;0;0;0;0;1;0;0;0
5500;A;CANCELLIERI;5,5;0;0;0;0;0;0;0;0;0;0;0
4500;A;DI CARMINE;5;0;0;0;0;0;0;1;0;0;0;0
652;A;KALINIC;5;0;0;0;0;0;0;0;0;0;0;0
691;ALL;DI FRANCESCO;5,5;0;0;0;0;0;0;0;0;0;0;0
