Id;R;RM;Nome;Squadra;Qt.A;FVM;Indice appetibilità;Titolarita;Rigori;Punizioni;angoli;Indice Squadra;Fascia;Offerta max;Note
265;C;"M;C";Brozovic;Inter;14;38;80;9;;3;;;;15;
272;D;Dc;Medel;Bologna;7;10;60;7;;;;;;4;
286;D;Dc;Bonucci;Juventus;15;32;80;8;2;;;;;13;
294;D;Dc;Rugani;Juventus;5;8;40;4;;;;;;3;
302;C;"W;T";Pereyra;Udinese;18;57;77;8;2;2;;;;23;**
303;C;"C;T";Pogba;Juventus;23;68;78;4;3;2;;;;27;tentativo rientro per fine settembre
309;A;A;Dybala;Roma;29;197;84;9;1;2;;;;79;
315;A;Pc;Zaza;Torino;5;5;50;3;;;;;;2;
316;P;Por;Berisha;Torino;11;5;75;7;;;;;;2;
322;D;Dc;De Vrij;Inter;10;20;74;7;;;;;;8;
327;D;"Dd;Dc";Patric;Lazio;5;8;70;6;;;;;;3;
329;D;"Ds;Dc";Radu;Lazio;2;2;56;3;;;;;;1;
332;C;W;Candreva;Salernitana;17;46;81;9;2;3;;;;18;
333;C;"M;C";Cataldi;Lazio;8;12;68;5;;;;;;5;
335;C;"W;A";Felipe Anderson;Lazio;19;63;82;7;3;;;;;25;
357;D;"Dd;E";Calabria;Milan;14;24;80;8;;;;;;10;
358;D;"Dd;Ds;E";De Sciglio;Juventus;6;9;51;5;;;;;;4;
360;D;Dc;Paletta;Monza;2;1;40;2;;;;;;0;
367;C;"C;W;T";Bonaventura;Fiorentina;15;39;75;8;;2;;;;16;
376;C;"W;T";Verdi;Torino;13;15;78;9;;;;;;6;
383;A;Pc;Petagna;Monza;15;43;78;8;1;;;;;17;
393;D;"Ds;Dc";Luperto;Empoli;5;8;64;8;;;;;;3;
407;A;A;Gabbiadini;Sampdoria;15;30;72;8;;1;;;;12;
434;C;"M;C";Jajalo;Udinese;3;3;40;2;;;;;;1;
453;P;Por;Szczesny;Juventus;16;65;90;8;;;;;;26;rientro per la terza
454;D;Dc;Capradossi;Spezia;2;2;40;2;;;;;;1;
460;D;Dc;Romagnoli;Lazio;11;20;74;9;;;;;;8;
464;D;"Dd;E";Florenzi;Milan;7;13;69;5;;;;;;5;
472;A;Pc;Destro;Empoli;17;43;78;9;2;;;;;17;
479;A;Pc;Sanabria;Torino;22;79;77;9;2;;;;;32;
487;D;"Dd;E";De Silvestri;Bologna;8;17;69;7;;;;;;7;
495;A;A;Correa;Inter;16;35;72;5;;;;;;14;
505;A;Pc;Bonazzoli;Salernitana;14;30;77;8;1;;;;;12;
507;A;Pc;Muriel;Atalanta;25;113;82;6;2;2;;;;45;
509;P;Por;Consigli;Sassuolo;10;23;75;9;;;;;;9;
510;P;Por;Pegolo;Sassuolo;1;1;15;2;;;;;;0;
511;P;Por;Perilli;Verona;1;1;10;1;;;;;;0;
513;D;Dc;Acerbi;Lazio;8;10;50;4;;;;;;4;forse inter
526;C;"M;C";Duncan;Fiorentina;7;10;73;8;;;;;;4;
530;C;T;Pellegrini Lo.;Roma;27;108;91;8;3;1;;;;43;
531;A;A;Berardi;Sassuolo;34;249;89;9;1;1;;;;100;
536;C;"W;A";Politano;Napoli;16;26;71;5;;;;;;10;
537;A;A;Sansone;Bologna;6;7;68;5;3;3;;;;3;
543;P;Por;Padelli;Udinese;1;1;0;2;;;;;;0;
554;D;E;Zappacosta;Atalanta;11;18;78;7;;;;;;7;
557;C;C;Benassi;Fiorentina;4;4;40;3;;;;;;2;
568;A;Pc;Quagliarella;Sampdoria;10;15;70;5;3;3;;;;6;
572;P;Por;Meret;Napoli;14;20;83;8;;;;;;8;arriva Navas?
581;D;"Dd;E";Faraoni;Verona;13;29;80;9;;;;;;12;
600;C;"C;T";Verre;Sampdoria;7;10;72;7;;;;;;4;
608;A;Pc;Zapata D.;Atalanta;32;245;88;8;1;;;;;98;
610;P;Por;Gollini;Fiorentina;11;32;78;8;;;;;;13;
612;D;"Dd;Dc";Bianchetti;Cremonese;5;9;64;6;;;;;;4;
630;D;"E;C";Sala;Spezia;5;7;54;3;;;;;;3;
632;C;"W;A";Zaccagni;Lazio;20;69;84;9;;;;;;28;
640;D;Dc;Chiriches;Cremonese;5;9;67;8;;;;;;4;
643;A;A;Defrel;Sassuolo;8;10;54;3;3;;;;;4;
645;C;"C;T";Milinkovic-Savic;Lazio;29;158;92;9;;2;;;;63;
647;A;Pc;Dzeko;Inter;16;70;78;5;;;;;;28;
660;D;Dc;Gyomber;Salernitana;4;3;50;3;;;;;;1;
662;D;"Ds;E";Alex Sandro;Juventus;9;14;68;7;;;;;;6;
666;C;"C;T";Machin;Monza;4;4;56;4;;;;;;2;
673;P;Por;Perisan;Empoli;1;1;26;2;;;;;;0;
694;C;"E;W";Baez;Cremonese;4;6;68;6;;2;;;;2;
695;D;Dc;Toloi;Atalanta;9;13;78;8;;;;;;5;
697;C;"E;W";Cuadrado;Juventus;15;28;75;6;;;;;;11;
761;P;Por;Audero;Sampdoria;10;17;73;9;;;;;;7;
779;C;"M;C";Cristante;Roma;10;17;70;8;;;;;;7;
785;A;Pc;Immobile;Lazio;42;390;97;10;1;;;;;156;
787;D;Dc;Djimsiti;Atalanta;7;13;70;6;;;;;;5;
795;C;"W;A";El Shaarawy;Roma;9;21;60;5;;;;;;8;
798;D;Dc;Skriniar;Inter;17;50;88;8;;;;;;20;
799;P;Por;Bardi;Bologna;1;1;30;3;;;;;;0;
801;C;"M;C";Gagliardini;Inter;8;11;62;4;;;;;;4;
827;C;"M;C";Locatelli;Juventus;14;26;82;8;;3;;;;10;
1839;A;"W;A";Edera;Torino;2;1;60;3;;;;;;0;
1843;P;Por;Radu I.;Cremonese;4;8;65;9;;;;;;3;
1847;D;Dc;Caldara;Spezia;7;10;68;8;;;;;;4;
1851;C;E;Molina S.;Monza;4;6;55;3;;;;;;2;
1852;D;"Ds;E";Spinazzola;Roma;12;24;82;8;;;;;;10;
1857;A;A;Di Francesco F.;Lecce;12;21;69;7;3;2;;;;8;
1868;D;"Ds;E";Murru;Sampdoria;5;8;69;8;;;;;;3;
1870;C;C;Barella;Inter;20;64;86;9;;;;;;26;
1889;P;Por;Cordaz;Inter;1;1;21;1;;;;;;0;
1891;D;"Dd;Dc";Ceccherini;Verona;6;13;68;8;;;;;;5;
1895;D;Dc;Ferrari G.;Sassuolo;8;15;73;8;;;;;;6;
1898;D;"Dd;Dc;E";Sampirisi;Monza;3;2;45;3;;;;;;1;
1901;C;"M;C";Barberis;Monza;7;8;66;7;;;;;;3;
1917;P;Por;Dragowski;Spezia;8;13;70;9;;;;;;5;
1930;P;Por;Pinsoglio;Juventus;1;1;18;1;;;;;;0;
1933;C;"M;C";Mandragora;Fiorentina;10;18;75;9;;3;;;;7;
1943;A;Pc;Nestorovski;Udinese;11;8;55;4;;;;;;3;
1947;P;Por;Fiorillo;Salernitana;1;1;15;2;;;;;;0;
1958;A;A;Caprari;Monza;26;110;81;9;2;2;;;;44;
1976;C;"M;C";Mazzitelli;Monza;3;4;35;2;;;;;;2;
1978;C;"C;T";Sensi;Monza;12;28;71;7;;1;;;;11;
1995;C;"W;T";Djuricic;Sampdoria;12;30;70;6;;2;;;;12;
2002;C;"W;A";Chiesa;Juventus;24;89;84;5;;;;;;36;rientro per fine settembre
2008;C;C;Linetty;Torino;5;8;50;4;;;;;;3;
2009;C;"C;T";Lukic;Torino;13;31;78;9;1;3;;;;12;**
2011;C;"M;C";Miguel Veloso;Verona;6;9;64;6;2;2;;;;4;
2016;D;Dc;Fazio;Salernitana;6;10;66;7;;;;;;4;
2038;A;Pc;Pinamonti;Sassuolo;23;120;83;8;2;;;;;48;
2061;A;Pc;Simeone;Napoli;24;42;60;4;;;;;;17;
2064;D;"Dd;Ds;Dc";Veseli;Salernitana;1;1;48;4;;;;;;0;
2077;C;T;Pasalic;Atalanta;22;75;90;7;;;;;;30;
2085;C;T;Luis Alberto;Lazio;18;45;80;8;2;1;;;;18;
2097;A;Pc;Kean;Juventus;15;37;68;5;;;;;;15;
2103;A;Pc;Pellegri;Torino;12;15;72;6;;;;;;6;
2104;D;"Dd;E";Bereszynski;Sampdoria;6;11;68;8;;;;;;4;
2117;C;"C;T";Kastanos;Salernitana;5;10;57;4;;;;;;4;influenza
2119;A;A;Deulofeu;Udinese;24;80;82;9;1;1;;;;32;
2120;D;Dc;Bastoni;Inter;15;37;78;8;;;;;;15;
2130;D;E;Hateboer;Atalanta;9;16;79;7;;;;;;6;
2134;P;Por;Falcone;Lecce;6;12;66;9;;;;;;5;
2141;D;"Dd;E";Depaoli;Sampdoria;4;5;50;3;;;;;;2;
2154;C;"W;T";Vignato;Bologna;3;7;67;6;;;;;;3;
2160;D;E;Gosens;Inter;19;62;82;7;;;;;;25;insieme a di marco
2161;C;C;Haas;Empoli;3;4;58;5;;;;;;2;
2164;D;"Dd;Dc";Milenkovic;Fiorentina;11;24;76;9;;;;;;10;
2167;C;"W;A";Orsolini;Bologna;15;34;75;7;2;1;;;;14;
2169;D;"Ds;Dc;E";Rodriguez R.;Torino;8;11;69;8;;;;;;4;*
2170;P;Por;Milinkovic-Savic V.;Torino;2;21;62;4;;;;;;8;
2172;C;T;Barak;Verona;22;51;80;9;1;;;;;20;forse fiorentina
2174;D;"Dd;Ds;E";Venuti;Fiorentina;3;4;67;6;;;;;;2;
2178;P;Por;Cragno;Monza;11;25;79;8;;;;;;10;
2179;P;Por;Sirigu;Napoli;1;6;45;3;;;;;;2;
2180;D;"Dd;E";Karsdorp;Roma;10;20;71;7;;;;;;8;
2181;D;Dc;Palomino;Atalanta;10;1;10;1;;;;;;0;doping
2188;D;"Dd;Ds;E";Marusic;Lazio;7;13;74;8;;;;;;5;
2192;D;Dc;Bonifazi;Bologna;4;6;65;7;;;;;;2;
2194;C;T;Calhanoglu;Inter;19;64;87;7;3;1;;;;26;
2195;A;A;Ounas;Napoli;4;6;44;3;;;;;;2;
2208;D;"Ds;Dc;E";Jaroszynski;Salernitana;1;1;35;2;;;;;;0;possibile rientro alla terza
2211;P;Por;Silvestri;Udinese;9;22;78;9;;;;;;9;
2252;D;"Ds;Dc";Marchizza;Sassuolo;2;2;46;3;;;;;;1;
2253;C;C;Bandinelli;Empoli;6;9;74;8;;;;;;4;
2263;D;"Dd;E";Lazzari;Lazio;10;26;80;9;;;;;;10;
2274;C;"C;T";Valoti;Monza;5;14;69;5;3;;;;;6;
2279;D;Dc;Romagna;Sassuolo;1;1;55;3;;;;;;0;
2280;D;Dc;Nuytinck;Udinese;7;7;65;6;;;;;;3;
2294;P;Por;Cerofolini;Fiorentina;1;1;5;1;;;;;;0;
2296;D;Dc;Mancini;Roma;10;18;67;8;;;;;;7;
2297;P;Por;Rossi F.;Atalanta;1;1;16;1;;;;;;0;
2300;D;Dc;Leverbe;Sampdoria;4;7;70;6;;;;;;3;
2312;D;Dc;Hristov;Spezia;3;3;56;4;;;;;;1;
2318;D;"Ds;E";Rogerio;Sassuolo;5;12;62;5;;;;;;5;
2334;C;W;Leris;Sampdoria;4;7;55;3;;;;;;3;
2355;D;Dc;Marlon;Monza;7;14;70;7;;;;;;6;
2379;C;C;Rabiot;Juventus;7;10;62;5;;;;;;4;
2382;A;A;Di Maria;Juventus;27;114;80;8;;1;;;;46;rientro per metà settembre
2391;C;"M;C";Ekdal;Spezia;7;9;62;8;;;;;;4;
2392;C;M;Walace;Udinese;7;9;57;7;;;;;;4;
2409;A;A;Ribery;Salernitana;5;10;58;4;;1;;;;4;in fase di recupero
2432;C;M;Zakaria;Juventus;10;17;78;7;;;;;;7;
2438;A;Pc;Jovic;Fiorentina;25;121;78;8;2;;;;;48;
2446;D;"Dd;Dc";Donati;Monza;4;3;60;5;;;;;;1;
2453;D;Dc;Nastasic;Fiorentina;1;2;69;4;;;;;;1;
2466;A;Pc;Origi;Milan;17;59;70;5;;;;;;24;
2489;A;A;Pedro;Lazio;19;67;77;9;;3;;;;27;
2525;D;E;Darmian;Inter;10;16;64;5;;;;;;6;
2528;C;M;Matic;Roma;7;13;66;7;;;;;;5;
2529;C;"T;A";Mkhitaryan;Inter;16;48;74;5;;;;;;19;rientro per la terza
2530;A;Pc;Ibrahimovic;Milan;13;15;40;1;3;;;;;6;non prima di gennaio
2531;A;Pc;Lukaku;Inter;40;363;92;8;1;;;;;145;
2544;A;Pc;Abraham;Roma;32;322;89;9;2;;;;;129;
2625;C;"C;T";Soriano;Bologna;12;21;78;9;;;;;;8;
2633;D;Dc;Kjaer;Milan;5;10;62;5;;;;;;4;
2638;C;"C;T";Wijnaldum;Roma;17;49;81;8;;;;;;20;
2639;C;M;Bakayoko;Milan;2;2;35;1;;;;;;1;
2653;D;"Ds;E";Lykogiannis;Bologna;4;6;64;5;;2;;;;2;
2668;D;"Dd;Ds;Dc";Retsos;Verona;1;1;46;4;;;;;;0;
2719;A;A;Barrow;Bologna;17;44;78;8;;;;;;18;
2724;D;"Ds;Dc";Buongiorno;Torino;4;6;66;5;;;;;;2;
2739;D;"Ds;E";Reca;Spezia;6;10;69;7;;;;;;4;
2741;C;"C;T";Pessina;Monza;13;36;78;9;;;;;;14;
