Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
2769;D;MAGNANI;Verona;5;5;0
5397;C;KOVALENKO;Spezia;5;5;0
5453;C;RICCI S.;Empoli;5;5;0
2778;C;STULAC;Empoli;5;5;0
305;C;STURARO;Genoa;5;5;0
181;C;VECINO;Inter;5;5;0
4285;C;ARTHUR;Juventus;5;5;0
184;C;BERNARDESCHI;Juventus;5;5;0
4449;C;TONALI;Milan;5;5;0
4287;C;LOBOTKA;Napoli;5;5;0
58;C;DIAWARA;Roma;5;5;0
4885;C;VILLAR;Roma;5;5;0
556;C;BASELLI;Torino;5;5;0
5490;C;PERETZ;Venezia;5;5;0
5492;C;TESSMANN;Venezia;5;5;0
264;C;BESSA;Verona;5;5;0
5507;C;BUSIO;Venezia;5;5;0
2117;C;KASTANOS;Salernitana;5;5;0
5391;A;KOKORIN;Fiorentina;5;5;0
5460;A;SATRIANO;Inter;5;5;0
5496;A;JOHNSEN;Venezia;5;5;0
5505;A;KAIO JORGE;Juventus;5;5;0
50;D;MBAYE;Bologna;4;4;0
5449;D;PARISI;Empoli;4;4;0
4407;D;IGOR;Fiorentina;4;4;0
2285;D;BANI;Genoa;4;4;0
244;D;GHIGLIONE;Genoa;4;4;0
15;D;MASIELLO;Genoa;4;4;0
118;D;RADOVANOVIC;Genoa;4;4;0
358;D;DE SCIGLIO;Juventus;4;4;0
2728;D;PELLEGRINI LU.;Juventus;4;4;0
633;D;FARES;Lazio;4;4;0
5464;D;BOGDAN;Salernitana;4;4;0
660;D;GYOMBER;Salernitana;4;4;0
2064;D;VESELI;Salernitana;4;4;0
4433;D;ZORTEA;Salernitana;4;4;0
4403;D;CHABOT;Sampdoria;4;4;0
5355;D;UDOGIE;Udinese;4;4;0
5480;D;EBUEHI;Venezia;4;4;0
5481;D;MAZZOCCHI;Venezia;4;4;0
5482;D;MODOLO;Venezia;4;4;0
1891;D;CECCHERINI;Verona;4;4;0
4934;D;LOVATO;Atalanta;4;4;0
2253;C;BANDINELLI;Empoli;4;2;2
4376;C;ZURKOWSKI;Empoli;4;4;0
557;C;BENASSI;Fiorentina;4;4;0
526;C;DUNCAN;Fiorentina;4;4;0
5457;C;MALEH;Fiorentina;4;4;0
2302;C;BEHRAMI;Genoa;4;4;0
4459;C;ROVELLA;Genoa;4;4;0
173;C;CAPEZZI;Salernitana;4;4;0
5469;C;DI TACCHIO;Salernitana;4;4;0
560;C;OBI;Salernitana;4;4;0
2855;C;VIEIRA;Sampdoria;4;4;0
2825;C;BOURABIA;Sassuolo;4;4;0
4501;C;OBIANG;Sassuolo;4;4;0
5491;C;TAUGOURDEAU;Venezia;4;4;0
5499;C;HONGLA;Verona;4;4;0
4498;C;HENDERSON L.;Empoli;4;3;1
4435;A;COLLEY E.;Spezia;4;4;0
2743;A;SANTANDER;Bologna;4;4;0
2304;A;SALCEDO E.;Inter;4;4;0
1998;A;PJACA;Torino;4;4;0
4938;A;MORO;Lazio;4;3;1
5012;A;MURIQI;Lazio;4;4;0
2103;A;PELLEGRI;Milan;4;4;0
5673;A;ANTISTE;Spezia;4;4;0
5300;D;HICKEY;Bologna;3;3;0
2116;D;FARAGO';Cagliari;3;3;0
805;D;FIAMOZZI;Empoli;3;3;0
2174;D;VENUTI;Fiorentina;3;3;0
2214;D;KOLAROV;Inter;3;3;0
327;D;PATRIC;Lazio;3;3;0
1847;D;CALDARA;Venezia;3;3;0
2860;D;MALCUIT;Napoli;3;3;0
5398;D;REYNOLDS;Roma;3;3;0
2141;D;DEPAOLI;Sampdoria;3;3;0
45;D;FERRARI A.;Sampdoria;3;3;0
259;D;MURILLO;Sampdoria;3;3;0
1868;D;MURRU;Sampdoria;3;3;0
4979;D;AYHAN;Sassuolo;3;3;0
521;D;PELUSO;Sassuolo;3;3;0
4985;D;VIGNALI;Spezia;3;3;0
224;D;DE MAIO;Udinese;3;3;0
5498;D;CASALE;Verona;3;3;0
256;D;JUAN JESUS;Napoli;3;3;0
272;C;MEDEL;Bologna;3;2;1
4411;C;AGOUME;Inter;3;3;0
5286;C;AKPA AKPRO;Lazio;3;3;0
333;C;CATALDI;Lazio;3;3;0
4975;C;ESCALANTE;Lazio;3;3;0
4894;C;HARASLIN;Sassuolo;3;3;0
434;C;JAJALO;Udinese;3;3;0
5486;C;CRNIGOJ;Venezia;3;3;0
400;C;DEZI;Venezia;3;2;1
5119;C;SAMARDZIC;Udinese;3;3;0
27;C;GRASSI;Cagliari;3;3;0
819;A;FAVILLI;Genoa;3;3;0
1839;A;EDERA;Torino;3;3;0
4346;A;MILLICO;Torino;3;3;0
5004;A;FORESTIERI;Udinese;3;3;0
5354;D;RUGGERI;Salernitana;2;1;1
4888;D;SUTALO;Verona;2;2;0
5447;D;ALTARE;Cagliari;2;2;0
4375;D;TERZIC;Fiorentina;2;2;0
261;D;RANOCCHIA;Inter;2;2;0
4946;D;FRABOTTA;Verona;2;2;0
4397;D;VAVRO;Lazio;2;2;0
11;D;CONTI;Milan;2;2;0
4976;D;KALULU;Milan;2;2;0
390;D;GHOULAM;Napoli;2;2;0
393;D;LUPERTO;Empoli;2;2;0
4945;D;CALAFIORI;Roma;2;2;0
5463;D;AYA;Salernitana;2;2;0
5466;D;STRANDBERG;Salernitana;2;3;-1
4983;D;FERRER;Spezia;2;2;0
2312;D;HRISTOV;Spezia;2;1;1
630;D;SALA;Spezia;2;2;0
2869;D;DJIDJI;Torino;2;2;0
2206;D;FELICIOLI;Venezia;2;2;0
551;D;MOLINARO;Venezia;2;2;0
5484;D;SVOBODA;Venezia;2;1;1
4519;D;CETIN;Verona;2;2;0
4494;D;EMPEREUR;Verona;2;2;0
4997;D;RUEGG;Verona;2;2;0
5503;D;KECHRIDA;Salernitana;2;1;1
5520;D;CAMBIASO;Genoa;2;1;1
5524;D;SERPE;Genoa;2;1;1
5678;D;HOLM;Spezia;2;2;0
1871;C;DEIOLA;Cagliari;2;2;0
2286;C;CROCIATA;Empoli;2;1;1
2213;C;CASSATA;Genoa;2;2;0
2121;C;MELEGONI;Genoa;2;2;0
4385;C;LAZARO;Inter;2;2;0
5420;C;DARBOE;Roma;2;2;0
528;C;MAGNANELLI;Sassuolo;2;2;0
5329;C;MAKENGO;Udinese;2;2;0
5504;C;COULIBALY L.;Salernitana;2;2;0
4389;C;ANDERSON A.;Lazio;2;1;1
5446;A;VAN HOOIJDONK;Bologna;2;2;0
2750;A;MRAZ;Spezia;2;1;1
5439;A;KALLON;Genoa;2;2;0
5500;A;CANCELLIERI;Verona;2;1;1
5523;A;BIANCHI F.;Genoa;2;1;1
5525;A;GALAZZI;Venezia;2;1;1
2297;P;ROSSI F.;Atalanta;1;1;0
4;P;SPORTIELLO;Atalanta;1;1;0
799;P;BARDI;Bologna;1;1;0
1946;P;ARESTI;Cagliari;1;1;0
3;P;RADUNOVIC;Cagliari;1;1;0
481;P;BRIGNOLI;Empoli;1;1;0
5448;P;FURLAN;Empoli;1;1;0
2790;P;ROSATI;Fiorentina;1;1;0
2815;P;TERRACCIANO;Fiorentina;1;1;0
4441;P;ANDRENACCI;Genoa;1;1;0
318;P;MARCHETTI;Genoa;1;1;0
1889;P;CORDAZ;Inter;1;1;0
1843;P;RADU I.;Inter;1;1;0
218;P;PERIN;Juventus;1;1;0
1930;P;PINSOGLIO;Juventus;1;1;0
1934;P;STRAKOSHA;Lazio;1;1;0
2091;P;PLIZZARI;Milan;1;1;0
160;P;TATARUSANU;Milan;1;1;0
2468;P;OSPINA;Napoli;1;1;0
5304;P;BOER;Roma;1;1;0
2781;P;FUZATO;Roma;1;1;0
2134;P;FALCONE;Sampdoria;1;1;0
4977;P;RAVAGLIA;Sampdoria;1;1;0
510;P;PEGOLO;Sassuolo;1;1;0
4981;P;KRAPIKAS;Spezia;1;1;0
2814;P;PROVEDEL;Spezia;1;1;0
316;P;BERISHA;Torino;1;1;0
4525;P;GEMELLO;Torino;1;1;0
543;P;PADELLI;Udinese;1;1;0
574;P;SCUFFET;Udinese;1;1;0
5478;P;MAENPAA;Venezia;1;1;0
4491;P;BERARDI A.;Verona;1;1;0
4996;P;PANDUR;Verona;1;1;0
5502;P;ADAMONIS;Lazio;1;1;0
1947;P;FIORILLO;Salernitana;1;1;0
2861;P;SEMPER;Genoa;1;1;0
5518;P;MARFELLA;Napoli;1;1;0
2127;P;SATALINO;Sassuolo;1;1;0
5521;P;BERTINATO;Venezia;1;1;0
5528;P;ZOVKO;Spezia;1;1;0
5445;D;BINKS;Bologna;1;1;0
5365;D;DRAGUSIN;Juventus;1;1;0
5461;D;KAMENOVIC;Lazio;1;1;0
4401;D;GABBIA;Milan;1;1;0
5473;D;KAIQUE ROCHA;Sampdoria;1;1;0
2279;D;ROMAGNA;Sassuolo;1;1;0
2793;D;OPOKU;Udinese;1;1;0
5316;D;AMIONE;Verona;1;1;0
5526;D;SCALVINI;Atalanta;1;1;0
5527;D;ZANOLI;Napoli;1;1;0
5444;C;CORTINOVIS;Atalanta;1;1;0
4935;C;LADINETTI;Cagliari;1;1;0
5452;C;DAMIANI;Empoli;1;1;0
4465;C;FAGIOLI;Juventus;1;1;0
4896;C;MALDINI;Milan;1;1;0
5462;C;CIERVO;Roma;1;1;0
5422;C;ZALEWSKI;Roma;1;1;0
5470;C;SCHIAVONE;Salernitana;1;1;0
4921;C;ASKILDSEN;Sampdoria;1;1;0
4995;C;SEGRE;Torino;1;1;0
4953;C;PALUMBO;Juventus;1;1;0
5485;C;BJARKASON;Venezia;1;1;0
5489;C;PECILE;Venezia;1;1;0
5508;C;VACCA;Venezia;1;1;0
5510;C;ROMERO L.;Lazio;1;1;0
5516;C;BIANCO;Fiorentina;1;1;0
5517;C;YEPES;Sampdoria;1;1;0
5519;C;SHER;Spezia;1;1;0
5423;C;BOVE;Roma;1;1;0
5458;A;MUNTEANU;Fiorentina;1;1;0
5459;A;BUKSA;Genoa;1;1;0
5472;A;KRISTOFFERSEN;Salernitana;1;1;0
5378;A;ODDEI;Sassuolo;1;1;0
5477;A;WARMING;Torino;1;1;0
5493;A;BOCALON;Venezia;1;1;0
